"Year","Crop","Area"
1947,"Bajra",10403
1947,"Bananas",NA
1947,"Barley",3786
1947,"Black_pepper",NA
1947,"Cassava",NA
1947,"Castor_seeds",707
1947,"Chillies_dry",NA
1947,"Coconut",NA
1947,"Coffee",107.5
1947,"Cotton",5327.5
1947,"Ginger_dry",NA
1947,"Gram",9668
1947,"Groundnuts",5039.5
1947,"Hemp.fiber",NA
1947,"Jute",326
1947,"Linseed",1988.5
1947,"Maize",4253.5
1947,"Mesta",NA
1947,"Millet",17302.5
1947,"Other_pulses",10339
1947,"Potatoes",NA
1947,"Ragi",2574
1947,"Rapeseed",2307.5
1947,"Rice",32207.5
1947,"Rubber",78
1947,"Sesamum",1990
1947,"Small_millets",4325.5
1947,"Sorghum",18129.5
1947,"Sugarcane",2028
1947,"Sweet potatoes",NA
1947,"Tea",383
1947,"Tobacco",413.5
1947,"Tur",2715
1947,"Wheat",10421.5
1948,"Bajra",9891.5
1948,"Bananas",NA
1948,"Barley",3856
1948,"Black_pepper",96.5
1948,"Cassava",NA
1948,"Castor_seeds",691.5
1948,"Chillies_dry",604
1948,"Coconut",730.5
1948,"Coffee",109
1948,"Cotton",5646.5
1948,"Ginger_dry",26.5
1948,"Gram",10248.5
1948,"Groundnuts",4582.5
1948,"Hemp.fiber",NA
1948,"Jute",417
1948,"Linseed",1880.5
1948,"Maize",4211.5
1948,"Mesta",NA
1948,"Millet",19506
1948,"Other_pulses",10391
1948,"Potatoes",253
1948,"Ragi",2675
1948,"Rapeseed",2316.5
1948,"Rice",36242.5
1948,"Rubber",80
1948,"Sesamum",2322
1948,"Small_millets",6939.5
1948,"Sorghum",18414.5
1948,"Sugarcane",1876
1948,"Sweet potatoes",NA
1948,"Tea",384
1948,"Tobacco",401.5
1948,"Tur",2458
1948,"Wheat",11171
1949,"Bajra",11440.5
1949,"Bananas",NA
1949,"Barley",930
1949,"Black_pepper",98
1949,"Cassava",NA
1949,"Castor_seeds",729
1949,"Chillies_dry",634.5
1949,"Coconut",736
1949,"Coffee",111.5
1949,"Cotton",6086.5
1949,"Ginger_dry",28.5
1949,"Gram",10248.5
1949,"Groundnuts",4916
1949,"Hemp.fiber",NA
1949,"Jute",581.5
1949,"Linseed",1879.5
1949,"Maize",4030.5
1949,"Mesta",NA
1949,"Millet",19856.5
1949,"Other_pulses",11888.5
1949,"Potatoes",288.5
1949,"Ragi",2725
1949,"Rapeseed",2390.5
1949,"Rice",37707
1949,"Rubber",81
1949,"Sesamum",2527.5
1949,"Small_millets",5691
1949,"Sorghum",19167.5
1949,"Sugarcane",1812
1949,"Sweet potatoes",NA
1949,"Tea",386
1949,"Tobacco",430
1949,"Tur",2779.5
1949,"Wheat",12057
1950,"Bajra",11148
1950,"Bananas",NA
1950,"Barley",3846.5
1950,"Black_pepper",98.5
1950,"Cassava",NA
1950,"Castor_seeds",686
1950,"Chillies_dry",732
1950,"Coconut",768
1950,"Coffee",112
1950,"Cotton",7268
1950,"Ginger_dry",20.5
1950,"Gram",9353
1950,"Groundnuts",5553
1950,"Hemp.fiber",NA
1950,"Jute",705.5
1950,"Linseed",1733.5
1950,"Maize",3903.5
1950,"Mesta",NA
1950,"Millet",19560
1950,"Other_pulses",11540
1950,"Potatoes",296
1950,"Ragi",2722
1950,"Rapeseed",2559
1950,"Rice",38067.5
1950,"Rubber",72
1950,"Sesamum",2722.5
1950,"Small_millets",5690
1950,"Sorghum",19238.5
1950,"Sugarcane",2108.5
1950,"Sweet potatoes",NA
1950,"Tea",388.5
1950,"Tobacco",441.5
1950,"Tur",2694.5
1950,"Wheat",12041
1951,"Bajra",6761
1951,"Bananas",NA
1951,"Barley",3903.5
1951,"Black_pepper",101
1951,"Cassava",232
1951,"Castor_seeds",718.5
1951,"Chillies_dry",692.5
1951,"Coconut",772.5
1951,"Coffee",115
1951,"Cotton",8100.5
1951,"Ginger_dry",23
1951,"Gram",8438
1951,"Groundnuts",6075.5
1951,"Hemp.fiber",292
1951,"Jute",975.5
1951,"Linseed",1704.5
1951,"Maize",4089.5
1951,"Mesta",NA
1951,"Millet",15351.5
1951,"Other_pulses",11736.5
1951,"Potatoes",308.5
1951,"Ragi",2705
1951,"Rapeseed",2967
1951,"Rice",36856.5
1951,"Rubber",74
1951,"Sesamum",2971
1951,"Small_millets",5885.5
1951,"Sorghum",19699.5
1951,"Sugarcane",2396
1951,"Sweet potatoes",156
1951,"Tea",391
1951,"Tobacco",356.5
1951,"Tur",3022.5
1951,"Wheat",11702
1952,"Bajra",13306.5
1952,"Bananas",NA
1952,"Barley",4010.5
1952,"Black_pepper",101.5
1952,"Cassava",239
1952,"Castor_seeds",663
1952,"Chillies_dry",617.5
1952,"Coconut",774.5
1952,"Coffee",115
1952,"Cotton",7856.5
1952,"Ginger_dry",23
1952,"Gram",8965
1952,"Groundnuts",5924
1952,"Hemp.fiber",NA
1952,"Jute",906.5
1952,"Linseed",1683
1952,"Maize",4454
1952,"Mesta",242
1952,"Millet",22309.5
1952,"Other_pulses",12589.5
1952,"Potatoes",314.5
1952,"Ragi",2771
1952,"Rapeseed",2600.5
1952,"Rice",37028
1952,"Rubber",84.5
1952,"Sesamum",2937
1952,"Small_millets",6232
1952,"Sorghum",21670
1952,"Sugarcane",2136
1952,"Sweet potatoes",173
1952,"Tea",389
1952,"Tobacco",448
1952,"Tur",2965
1952,"Wheat",12143
1953,"Bajra",15072.5
1953,"Bananas",134
1953,"Barley",4359.5
1953,"Black_pepper",104
1953,"Cassava",231
1953,"Castor_seeds",673
1953,"Chillies_dry",668
1953,"Coconut",782
1953,"Coffee",116
1953,"Cotton",8632.5
1953,"Ginger_dry",22.5
1953,"Gram",9934.5
1953,"Groundnuts",5247.5
1953,"Hemp.fiber",255
1953,"Jute",614
1953,"Linseed",1714
1953,"Maize",4780.5
1953,"Mesta",231.5
1953,"Millet",24970
1953,"Other_pulses",14032
1953,"Potatoes",317.5
1953,"Ragi",2883.5
1953,"Rapeseed",2772.5
1953,"Rice",38659
1953,"Rubber",84.5
1953,"Sesamum",3175.5
1953,"Small_millets",7014
1953,"Sorghum",21941
1953,"Sugarcane",1742.5
1953,"Sweet potatoes",165
1953,"Tea",387.5
1953,"Tobacco",456
1953,"Tur",2971
1953,"Wheat",13197
1954,"Bajra",13991.5
1954,"Bananas",NA
1954,"Barley",4154.5
1954,"Black_pepper",104
1954,"Cassava",233
1954,"Castor_seeds",697
1954,"Chillies_dry",761.5
1954,"Coconut",788.5
1954,"Coffee",116
1954,"Cotton",9342
1954,"Ginger_dry",17.5
1954,"Gram",11023.5
1954,"Groundnuts",6774
1954,"Hemp.fiber",NA
1954,"Jute",621.5
1954,"Linseed",1677
1954,"Maize",4655.5
1954,"Mesta",264
1954,"Millet",23746.5
1954,"Other_pulses",13654.5
1954,"Potatoes",329
1954,"Ragi",2855.5
1954,"Rapeseed",3012.5
1954,"Rice",37974.5
1954,"Rubber",86
1954,"Sesamum",3250.5
1954,"Small_millets",6899.5
1954,"Sorghum",21723
1954,"Sugarcane",1997
1954,"Sweet potatoes",179
1954,"Tea",387.5
1954,"Tobacco",423
1954,"Tur",2972
1954,"Wheat",13758.5
1955,"Bajra",13512.5
1955,"Bananas",146
1955,"Barley",4072.5
1955,"Black_pepper",107
1955,"Cassava",253
1955,"Castor_seeds",731
1955,"Chillies_dry",746
1955,"Coconut",799.5
1955,"Coffee",125
1955,"Cotton",10115
1955,"Ginger_dry",18.5
1955,"Gram",11451
1955,"Groundnuts",6292.5
1955,"Hemp.fiber",244
1955,"Jute",790.5
1955,"Linseed",1712
1955,"Maize",4454.5
1955,"Mesta",309
1955,"Millet",22873.5
1955,"Other_pulses",13220.5
1955,"Potatoes",346.5
1955,"Ragi",2813.5
1955,"Rapeseed",3131
1955,"Rice",38126.5
1955,"Rubber",86.5
1955,"Sesamum",2869
1955,"Small_millets",6547.5
1955,"Sorghum",21360.5
1955,"Sugarcane",2223
1955,"Sweet potatoes",196
1955,"Tea",390.5
1955,"Tobacco",460.5
1955,"Tur",2878.5
1955,"Wheat",14612.5
1956,"Bajra",11251
1956,"Bananas",147
1956,"Barley",3518
1956,"Black_pepper",89
1956,"Cassava",247
1956,"Castor_seeds",569
1956,"Chillies_dry",601
1956,"Coconut",657
1956,"Coffee",83
1956,"Cotton",8019
1956,"Ginger_dry",16
1956,"Gram",9674
1956,"Groundnuts",5532
1956,"Hemp.fiber",247
1956,"Jute",772
1956,"Linseed",1682
1956,"Maize",3758
1956,"Mesta",297
1956,"Millet",18506
1956,"Other_pulses",11349
1956,"Potatoes",286
1956,"Ragi",2279
1956,"Rapeseed",2539
1956,"Rice",32277
1956,"Rubber",64
1956,"Sesamum",2172
1956,"Small_millets",4976
1956,"Sorghum",16237
1956,"Sugarcane",2050
1956,"Sweet potatoes",156
1956,"Tea",316
1956,"Tobacco",419
1956,"Tur",2293
1956,"Wheat",13424
1957,"Bajra",11169
1957,"Bananas",NA
1957,"Barley",3069
1957,"Black_pepper",93
1957,"Cassava",246
1957,"Castor_seeds",447
1957,"Chillies_dry",629
1957,"Coconut",666
1957,"Coffee",87
1957,"Cotton",8014
1957,"Ginger_dry",17
1957,"Gram",9091
1957,"Groundnuts",6420
1957,"Hemp.fiber",NA
1957,"Jute",705
1957,"Linseed",1283
1957,"Maize",1079
1957,"Mesta",310
1957,"Millet",18455
1957,"Other_pulses",11086
1957,"Potatoes",321
1957,"Ragi",2416
1957,"Rapeseed",2412
1957,"Rice",32298
1957,"Rubber",64
1957,"Sesamum",2094
1957,"Small_millets",4870
1957,"Sorghum",17311
1957,"Sugarcane",2073
1957,"Sweet potatoes",152
1957,"Tea",321
1957,"Tobacco",359
1957,"Tur",2361
1957,"Wheat",11730
1958,"Bajra",11428
1958,"Bananas",181
1958,"Barley",3312
1958,"Black_pepper",93
1958,"Cassava",237
1958,"Castor_seeds",458
1958,"Chillies_dry",567
1958,"Coconut",690
1958,"Coffee",91
1958,"Cotton",7964
1958,"Ginger_dry",15
1958,"Gram",10080
1958,"Groundnuts",6251
1958,"Hemp.fiber",221
1958,"Jute",733
1958,"Linseed",1595
1958,"Maize",4265
1958,"Mesta",367
1958,"Millet",19127
1958,"Other_pulses",11758
1958,"Potatoes",338
1958,"Ragi",2540
1958,"Rapeseed",2447
1958,"Rice",33172
1958,"Rubber",73
1958,"Sesamum",2250
1958,"Small_millets",5159
1958,"Sorghum",17960
1958,"Sugarcane",2048
1958,"Sweet potatoes",184
1958,"Tea",322
1958,"Tobacco",379
1958,"Tur",2473
1958,"Wheat",12617
1959,"Bajra",10695
1959,"Bananas",182
1959,"Barley",3378
1959,"Black_pepper",94
1959,"Cassava",250
1959,"Castor_seeds",492
1959,"Chillies_dry",605
1959,"Coconut",715
1959,"Coffee",96
1959,"Cotton",7295
1959,"Ginger_dry",18
1959,"Gram",10326
1959,"Groundnuts",6442
1959,"Hemp.fiber",203
1959,"Jute",682
1959,"Linseed",1974
1959,"Maize",4344
